group,count,r2,rmse,mse,mae,mape,medae
00210,40,0.6560572645320284,12030.524383056432,144733516.93131536,4141.935269922314,0.3149278502674264,934.5662479140631
00020,92,0.6199841125468889,55292.15411723268,3057222306.9238114,39810.798709295945,0.37599577587335775,28651.95860798106
00275,87,0.4575730858409701,10001.453609141614,100029074.2958118,6813.914135945265,0.5912219678215023,4158.401679337712
00030,59,0.21094279565366503,26285.43317291382,690923997.0877184,18972.154037936747,0.29175493862982266,13418.768494683602
00200,13,0.04752214706441282,39779.116707914814,1582378126.0619073,30209.219647625487,0.6552458577865143,21659.89895993283
