group,count,r2,rmse,mse,mae,mape,medae
D2,17,0.7111956949840048,33090.547453611005,1094984330.7796817,25894.156492416234,0.3150100144135312,17091.575554229
B1,63,0.5581337248929101,81065.05673640216,6571543423.676101,50582.53357724311,0.4538777806416773,27526.389818171687
D1,15,0.17251862370510485,27885.009872205977,777573775.5730247,20174.956727662207,0.4294109924582515,14253.245776280513
C4,28,0.13265541243839196,42177.93991752731,1778978615.6865432,32779.075062346994,2.5380275448299776,26492.14646135176
D3,10,0.092322530891914,37475.047844814406,1404379210.9711287,27857.945429206513,0.4270687882740819,21870.042501678527
C5,10,-0.04483936737334093,27575.85426537091,760427738.4649749,21528.6578071351,0.30482336439495256,17824.621223546634
C2,15,-0.37343693073386386,29424.456503124282,865798640.5042529,23591.78813628461,0.2902840981285915,20582.962764185126
