group,count,r2,rmse,mse,mae,mape,medae
"PREZZO_(95543.696, 659186.318]",115,0.16483297323424484,90859.61231338263,8255469149.738193,53702.06317045112,0.24945088824749806,29750.113965792145
"PREZZO_(60779.868, 95543.696]",115,-8.247057578155314,30514.67746276639,931145540.6566632,24664.195972513502,0.33244793460179034,20291.778808462535
"PREZZO_(29080.034, 60779.868]",114,-17.87421417078652,43992.72119294312,1935359517.960027,33848.42925361641,0.7983549364999855,28194.377337776714
"PREZZO_(9544.404, 29080.034]",115,-19.477463687753996,24160.756936443773,583742175.7419158,18788.615413649826,1.2557641717244046,14523.096567093176
"PREZZO_(338.43600000000004, 9544.404]",115,-72.88019472726737,21077.74662109095,444271402.6229111,15984.634773602076,5.7345193813978765,10259.918450051644
