group,count,r2,rmse,mse,mae,mape,medae
D2,29,0.8385044235085313,27464.176258422474,754280977.5536968,19128.04202361253,0.36594322408455715,8735.295942320732
C2,26,0.8279155591616746,17982.786734359594,323380618.7334594,12424.54659765495,0.26492565259379514,7731.441966950804
C5,24,0.7591826982333639,18455.056526820677,340589111.40814644,10917.25707572296,0.24333650635203563,2856.7186746163197
D3,26,0.7073330714542383,20735.92993970536,429978790.4643691,12526.258707114805,0.4890158687307962,5202.698999177527
C4,54,0.7018598177611912,31849.7521269167,1014406710.5460349,20631.036333818298,1.3418426967419603,12505.621815346647
B1,97,0.69742835538004,51046.770537524295,2605772782.3106585,26659.94281220811,0.3678121504055424,12727.333396347689
C3,18,0.6480606976488856,18985.868649356078,360463208.37060195,13924.028774672715,0.6613576809972337,10563.321173891538
D1,22,0.4723960216811661,23969.7316632588,574548036.0086315,14721.089255414547,0.46525282365934645,8789.31481702236
