group,count,r2,rmse,mse,mae,mape,medae
PREZZO_nan,31,0.9886436358184065,122.50953595159646,15008.586399075504,87.1880961819376,0.034756345751852345,67.5069857408995
"PREZZO_(9978.824, 17815.347]",30,0.9877614832452007,260.56084812142035,67891.95557375389,203.45215079996353,0.015208602785138865,161.36333865410688
"PREZZO_(17815.347, 30729.986]",30,0.9802926599621025,609.4575014408193,371438.4460624863,474.2573460702082,0.019684446298261295,396.0367848932983
"PREZZO_(30729.986, 47878.014]",31,0.9593168664826742,951.6708290820865,905677.3669257858,783.3561189769209,0.01980631216591475,761.0998500070564
"PREZZO_(137595.053, 570000.0]",31,0.9483576486021591,23338.14462134032,544668994.3665962,10151.957588327432,0.03402202547646182,4161.58445305191
"PREZZO_(4821.284, 9978.824]",30,0.9390436135459667,343.0616216453045,117691.27624590606,283.53121412876743,0.041604941977598786,270.67479772694423
"PREZZO_(47878.014, 63800.0]",30,0.9297378374197632,1228.9056961409674,1510209.2100077157,1093.2375531241569,0.01965040061491081,1239.2940557526053
"PREZZO_(96732.36, 137595.053]",30,0.8933636227612552,3567.2120732653643,12725001.975650178,2647.0016990581867,0.023240702234927524,2342.4431701091016
"PREZZO_(77403.586, 96732.36]",30,0.8861392380205974,2077.6187723864673,4316499.763372652,1755.0629346039564,0.02028765394404948,1593.0566273212025
"PREZZO_(63800.0, 77403.586]",30,0.8223592269051622,1432.9605734177567,2053376.0049697459,1249.8923059206259,0.017710460306309052,1082.5358106369022
