,Raw,Filtered,Delta,Delta_Pct
Count,5680.0,3026.0,-2654.0,-46.725352112676056
Mean,62428.259154929576,65913.47164041363,3485.2124854840513,5.582748153900501
Median,42000.0,45974.5712596097,3974.5712596097,9.46326490383262
Std,79616.6601966064,82145.8885181102,2529.2283215037896,3.176757622409783
Min,178.9060139014808,178.9060139014808,0.0,0.0
Max,1483525.9158955843,1483525.9158955843,0.0,0.0
Skewness,5.186085543422488,4.76053992634575,-0.42554561707673777,-8.2055263746364
Kurtosis,54.48336740648204,48.62499848757043,-5.858368918911609,-10.75258229764745
