Model,Type,Test_R2,Test_MAE,Test_RMSE,Test_MAPE,Train_R2,Train_MAE,Overfit_Gap_R2
STACKING,Ensemble,0.7187822442750831,21251.23416143218,42896.59665324359,0.5902641954691545,0.904278071444689,10212.382981488247,0.09936099565232204
LIGHTGBM,Individual,0.7139581728084444,22307.460908340672,43262.96100505761,0.6064215647408787,0.9273672166617994,8722.806751301992,0.12583506217800589
XGBOOST,Individual,0.7049142869830727,21379.06388723082,43941.56898434571,0.5737659317031593,0.8893734865463463,10678.534007437629,0.09459852800187651
RF,Individual,0.6144451705571234,22689.364658173745,50227.84461527265,0.5429834459508504,0.8099372672539424,13043.832533130062,0.07334711979019648
CATBOOST,Individual,0.6113079905430563,23174.485397981,50431.77741470377,0.5799311063174731,0.8097026808649079,14254.320406896848,0.0681338192281562
