group,count,r2,rmse,mse,mae,mape,medae
"PREZZO_(145000.0, 659186.318]",57,-0.21530888706997442,126687.52016385447,16049727765.267033,98307.10349830848,0.4031174855211184,77077.5088408033
"PREZZO_(16024.692, 30000.0]",61,-5.861432877477211,11803.727241822091,139327976.79933295,9353.802291458975,0.40246596752020114,8085.996542761224
"PREZZO_(3125.783, 9662.831]",57,-16.090341967744163,8226.248732598644,67671168.21058081,4981.765045823277,0.8334336442778882,3391.4035648422796
"PREZZO_(96598.54, 145000.0]",58,-18.1864449366501,64253.34359633992,4128492163.309316,46240.46539422647,0.3819341637918127,37097.64293476373
"PREZZO_(9662.831, 16024.692]",57,-26.186497000590663,9883.597969803219,97685508.82869832,7533.6342157907975,0.5922574148682564,5654.200987054637
"PREZZO_(45264.126, 62715.279]",57,-26.32405955826609,25728.424850989453,661951845.3130116,20697.681052532327,0.3819708268551178,17296.98393261002
"PREZZO_(62715.279, 76475.519]",58,-39.56775468791049,25440.132560270773,647200344.6841491,20814.17760998673,0.3020296554397864,19578.450400036974
PREZZO_nan,58,-40.47759073702487,5350.96214334434,28632795.859504253,1823.40189743585,1.170124227028334,720.6544086314934
"PREZZO_(30000.0, 45264.126]",54,-57.785223583370716,35147.54961639189,1235350244.0367296,21783.954290638074,0.5807528767736143,16209.306752110097
"PREZZO_(76475.519, 96598.54]",57,-60.47054863770657,46275.70090976548,2141440494.69007,27605.58771658944,0.31385935586148145,18038.259180003995
