Transformation,Mean,Std,Skewness,Kurtosis,Shapiro_Stat,Shapiro_p,Anderson_Stat,JB_Stat,JB_p,Score
Quantile (Normal),-4.3940800856724554e-05,1.0055026573061172,-0.0006237381186397617,0.30345619158660897,0.998636139594765,0.01353224235382309,0.03263893510666094,11.610663202261392,0.003011455985291082,1.2905476873514257
Box-Cox (λ=0.211),39.364144254276766,11.958044072156476,-0.050091919062444194,-0.3183428225318905,0.9888757861026206,1.1902696960661585e-14,11.30999631860368,14.043029793461264,0.0008924724646397832,1.3684347415943228
Yeo-Johnson (λ=0.211),39.34930265090516,11.95066755452235,-0.050088199219209574,-0.3185763611951522,0.9888696663767298,1.1772361041995862e-14,11.313798262203818,14.061596148997545,0.0008842258208502735,1.36866456041435
PowerTransformer (YJ),39.349302650905166,11.95066755452235,-0.050088199219211385,-0.3185763611951522,0.9888696663767302,1.1772361042004877e-14,11.313798262203818,14.061596148997475,0.000884225820850304,1.3686645604143517
Log10,4.505154177154266,0.6129927448390199,-0.7241796770214438,0.05738712399337942,0.9553060938263167,1.6630495036626454e-29,47.682669114607506,264.905887164285,2.9951425053246876e-58,1.7815668010148231
Log,10.373500849955269,1.41146795637983,-0.7241796770214453,0.057387123993381195,0.9553060938263163,1.6630495036622048e-29,47.68266911460705,264.905887164285,2.9951425053246876e-58,1.7815668010148265
Quantile (Uniform),0.49999206627625714,0.2887684525579629,8.699656610720744e-06,-1.200038068748473,0.9548735670567909,1.2551809960461805e-29,33.623724353367834,181.57151982418162,3.734611539439514e-40,2.200046768405084
Sqrt,220.6171045092165,131.30713932754418,1.0161592935761485,2.571098858923145,0.9428339531404852,1.0339066351245671e-32,23.848051393416426,1354.2444632856225,8.502589723385319e-295,4.5872581524992935
None (Original),65913.47164041363,82132.31405077499,4.7581797831287584,48.54270815269151,0.6665861260669492,8.771462729335316e-61,192.4958821423911,308520.32035600144,0.0,54.30088793582027
