Transform,Skewness,Kurtosis,KS_pvalue,KS_normal,Anderson_normal
original,3.973531722792354,38.65366025275268,2.8667419137567324e-82,False,False
log,-0.8749766015808528,2.2214460455785323,3.455113853854524e-30,False,False
boxcox,0.06348556410313023,1.1730511513951614,1.7791513377359182e-07,False,False
