Colonna,Correlazione,Correlazione_Assoluta
II_P32,-0.0177,0.0177
II_P70,-0.0162,0.0162
II_P40,-0.0149,0.0149
II_P39,-0.0146,0.0146
II_P75,-0.0145,0.0145
II_P100,0.0143,0.0143
II_PF6,0.0141,0.0141
II_P103,-0.0113,0.0113
OV_ValoreLocazioneMin_ottimo,0.0102,0.0102
II_PF5,0.0101,0.0101
A_MeseStipula,-0.01,0.01
II_P90,0.0086,0.0086
II_P24,-0.008,0.008
II_P16,0.0075,0.0075
OV_ValoreLocazioneMax_ottimo,0.0071,0.0071
II_P67,-0.0056,0.0056
AI_Numero,0.0056,0.0056
II_P23,-0.0047,0.0047
II_P76,0.0046,0.0046
II_P79,0.0028,0.0028
II_P26,0.0024,0.0024
II_P42,0.0016,0.0016
II_P73,0.0014,0.0014
POI_hospital_count,0.0014,0.0014
II_P95,0.001,0.001
II_P77,0.0003,0.0003
AI_QuotaFavore,,
ISC_TipoLoc,,
