group,count,r2,rmse,mse,mae,mape,medae
D2,28,0.8484054202525834,28512.31275401319,812951978.5826633,18805.65649392704,0.38193340927938013,9556.52734375
C2,27,0.8189924645308051,18577.88234931376,345137712.5849437,12257.465669496658,0.31922558792668126,7346.347284637722
C6,11,0.7682401338316812,53386.84516829483,2850155237.023485,23173.363099514045,0.30999135398666855,7282.93283834288
C5,22,0.706094531856903,20971.20352409941,439791377.2491995,12596.822303621791,0.2788748648067462,4596.985142603713
D1,19,0.6985725980390745,18836.887016035053,354828312.4548699,12786.467844365316,0.3555082211810761,10091.3900832573
C4,55,0.6972782138501381,30432.441259008436,926133480.982999,18524.23563860229,1.239696125750682,9793.75
B1,97,0.6468898378759016,66794.25192122474,4461472089.716035,33245.98633266683,0.3933343544364953,15537.511968211482
D3,25,0.6239602005075967,23521.51403835892,553261622.6567158,12518.387815194927,0.532288980925949,3938.1311741348145
C3,19,0.6117264822491434,20090.74897059819,403638194.19959223,15195.426280821821,0.8996969353518246,11957.709376788625
