group,count,r2,rmse,mse,mae,mape,medae
D2,29,0.8521825610513362,26275.38564012759,690395890.5374233,16997.389233679445,0.31172692037767075,10016.04741449566
C2,26,0.7959652056713021,19581.155153452542,383421637.14358103,12486.123476295488,0.33379241648629804,6589.508986470321
B1,97,0.7481973758224261,46567.64598714441,2168545652.7840066,30249.56440280145,0.45152059569178343,18122.667850763675
D3,26,0.7378442581315645,19625.303381589198,385152532.8194164,11399.030932852933,0.49492672145488087,5994.432945203563
C5,24,0.7347861345638436,19367.325399463916,375093293.1287201,12074.974417117468,0.311906141228727,4501.621538620888
C4,54,0.6244562132272892,35745.888061042875,1277768513.2726078,24083.727704052373,1.4795267834413675,17061.76320177153
D1,22,0.4408870460378014,24675.09984265904,608860552.2451922,13543.448498214559,0.4501642130723825,5004.080977951466
C3,18,-0.28902466149976447,36335.17035627608,1320244604.8196042,23769.423207356333,1.3447324560084777,17213.52476588971
